1362229479	    312529	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  175  138 2001    0    0    0 
1362229479	    412608	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  148  132  140 2002    0    0    0 
1362229479	    512627	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  135  139 2001    0    0    0 
1362229479	    612708	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  131  140 2000    0    0    0 
1362229479	    712734	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  152  132  137 2001    0    0    0 
1362229479	    812782	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  148  131  139 2001    0    0    0 
1362229479	    912818	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  132  139 2002    0    0    0 
1362229480	     12874	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  158  138 2002    0    0    0 
1362229480	    112886	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  152  132  143 2001    0    0    0 
1362229480	    212912	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  150  131  139 2001    0    0    0 
1362229480	    312934	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  132  138 2001    0    0    0 
1362229480	    413004	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  134  149 2001    0    0    0 
1362229480	    513072	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  148  139 2001    0    0    0 
1362229480	    613145	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  132  138 2003    0    0    0 
1362229480	    713149	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  150  134  139 2001    0    0    0 
1362229480	    813231	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  161 2001    0    0    0 
1362229480	    913263	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  148  132  139 2001    0    0    0 
1362229481	     13311	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  150  131  138 2003    0    0    0 
1362229481	    113346	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  148  132  158 2001    0    0    0 
1362229481	    213368	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  160  157  146  150  148  150  134  134  149  132  171 2002    0    0    0 
1362229481	    313449	   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  161  157  146  150  148  150  134  134  149  131  142 2003    0    0    0 
